Stock_code,Sector,Name,trading_days,total_days,trading_frequency,mean_return,std_return,volatility_7d,volatility_30d,max_drawdown,avg_volume,zero_volume_ratio,momentum_30d,current_price,Cluster
HFCK,Banking,HF Group Ltd,985,988,0.9969635627530364,0.0008943248205936055,0.032504419924819575,0.030395096905576867,0.031953456027683,-0.4268537074148297,78133.90862944162,0.003036437246963563,0.228882833787466,4.51,2
IMH,Banking,I & M Holdings Plc,983,988,0.9949392712550608,0.0002507250277854268,0.03160402684219705,0.016785641300190696,0.020943878327383463,-0.6829999999999999,110558.7995930824,0.005060728744939271,0.28091872791519434,36.25,2
JUB,Insurance,Jubilee Holdings Ltd,795,988,0.8046558704453441,-0.00031256119199493806,0.023298513140692444,0.017494959060698628,0.019591004598397497,-0.6198717948717949,6280.125786163522,0.19534412955465588,0.06933744221879823,173.5,2
KAPC,Agricultural,Kapchorua Tea Kenya Plc,515,988,0.521255060728745,0.0027817676049679925,0.03697765307605306,0.021891247191492595,0.025636844931191994,-0.2334841628959276,1123.106796116505,0.47874493927125505,0.05027932960893855,235.0,0
KCB,Banking,KCB Group Plc,988,988,1.0,0.000233516460135092,0.017531064657571427,0.013338953810317512,0.015811327071400778,-0.6843687374749499,1078481.8825910932,0.0,0.05183312262958295,41.6,2
KEGN,Energy and Petroleum,Kenya Electricity Generating Company Plc,988,988,1.0,-6.457475563362655e-05,0.019831402958365375,0.014358465221725332,0.016458054940545024,-0.6216216216216216,630362.6518218623,0.0,-0.08542713567839189,3.64,2
KNRE,Insurance,Kenya Re-Insurance Corporation Ltd,988,988,1.0,-0.00017280712629151723,0.02686774793068642,0.020143941996301595,0.022219482226964682,-0.6376306620209059,765106.6801619433,0.0,0.16363636363636358,1.28,2
KPLC,Energy and Petroleum,Kenya Power and Lighting Company Plc,988,988,1.0,0.0014685337681955885,0.030103207728145,0.022539819223245296,0.025374593878166176,-0.35148514851485146,870844.4331983805,0.0,0.023404255319148914,4.81,2
KUKZ,Agricultural,Kakuzi Plc,266,988,0.2692307692307692,0.0020258012492320675,0.04962470912601973,0.017768004268709395,0.022573590141384037,-0.45609065155807366,2465.4135338345864,0.7307692307692307,-0.125,385.0,0
LBTY,Insurance,Liberty Kenya Holdings Ltd,842,988,0.8522267206477733,0.0008225093223363864,0.04420767784028325,0.03917963320850917,0.04023931149895557,-0.6650485436893204,6884.679334916865,0.14777327935222673,-0.16080402010050254,6.68,0
LIMT,Agricultural,Limuru Tea Plc,96,988,0.09716599190283401,0.0017270824711661747,0.04367280003345144,0.005880727503643106,0.008754422942363699,-0.3137254901960784,2946.875,0.902834008097166,-0.04109589041095896,350.0,1
LKL,Commercial and Services,Longhorn Publishers Plc,819,988,0.8289473684210527,-0.0001453997642194115,0.04059336438177114,0.034243437195402626,0.03606958020389741,-0.589795918367347,14786.568986568987,0.17105263157894737,-0.03361344537815125,2.3,0
NBV,Commercial and Services,Nairobi Business Ventures Ltd,913,988,0.9240890688259109,0.000261204429258381,0.04857675665578428,0.04433582185414849,0.046288957533453884,-0.85546875,87226.61555312158,0.07591093117408906,-0.12608695652173918,2.01,0
NCBA,Banking,NCBA Group Plc,987,988,0.9989878542510121,0.0007871357291071163,0.019144583169392892,0.016681766304601258,0.018210301543877067,-0.2493887530562347,216784.39716312056,0.0010121457489878543,0.10045662100456632,48.2,2
NMG,Commercial and Services,Nation Media Group Plc,974,988,0.9858299595141701,0.00032571063486781093,0.027861504823242005,0.02253170553119473,0.025208158570579342,-0.5498084291187739,64694.558521560575,0.01417004048582996,0.014084507042253502,14.4,2
NSE,Investment Services,Nairobi Securities Exchange Plc,987,988,0.9989878542510121,3.50185411753036e-05,0.02701825997786325,0.025494042105855822,0.026341392412102156,-0.46995073891625616,49584.802431610944,0.0010121457489878543,0.05633802816901423,6.0,2
OCH,Investment,Olympia Capital Holdings Ltd,725,988,0.7338056680161943,0.0013675233703165344,0.045519360778062075,0.036050013220852835,0.0381579091921178,-0.5186567164179104,4459.586206896552,0.26619433198380565,-0.06666666666666676,2.8,0
ORCH,Manufacturing and Allied,Kenya Orchards Ltd,42,988,0.04251012145748988,0.04755879669334453,0.05352694651646515,0.0026713959386195775,0.004621088497954683,-0.06976744186046512,43923.80952380953,0.9574898785425101,0.0,70.0,1
PORT,Construction and Allied,East African Portland Cement Ltd,604,988,0.611336032388664,0.0029364383254964353,0.05001349671466545,0.030807735180996425,0.035728037931039944,-0.6035555555555555,2739.735099337748,0.38866396761133604,-0.34754797441364604,30.6,0
SASN,Agricultural,Sasini Plc,881,988,0.8917004048582996,0.00021026911951586564,0.03205915608818431,0.02811309632767008,0.02999128997975644,-0.5414012738853503,21580.022701475595,0.1082995951417004,-0.06542056074766356,15.0,0
SBIC,Banking,Stanbic Holdings Plc,847,988,0.8572874493927125,0.0007327654936697753,0.023908834562674907,0.01996415269195162,0.021613091538431547,-0.22736030828516376,57953.48288075561,0.14271255060728744,0.014787430683918634,137.25,2
SCAN,Commercial and Services,WPP ScanGroup Plc,978,988,0.9898785425101214,-0.0003844184252634987,0.03231300862894663,0.02900793547406935,0.030446597582405123,-0.703125,65994.47852760737,0.010121457489878543,0.11711711711711703,2.48,2
SCBK,Banking,Standard Chartered Bank Kenya Ltd,986,988,0.9979757085020243,0.0007481721265083275,0.012386754409606727,0.009198515132760179,0.011028241636481473,-0.20906432748538012,41815.314401622716,0.0020242914979757085,0.18287526427061307,279.75,2
SCOM,Telecommunication and Technology,Safaricom Plc,988,988,1.0,-0.000518221922829295,0.01948119469793696,0.01585424606359923,0.018011553384964435,-0.7408231368186875,7364146.457489879,0.0,0.11803278688524599,17.05,3
SGL,Commercial and Services,Standard Group Plc,620,988,0.6275303643724697,-0.001524642156874295,0.045969803259007125,0.03257138728471959,0.035842632689825585,-0.7911111111111111,1054.3548387096773,0.3724696356275304,-0.14915254237288145,5.02,0
SLAM,Insurance,Sanlam Kenya Plc,677,988,0.6852226720647774,-0.00013565072729770477,0.0459519108164518,0.034136175243393574,0.03706333511418734,-0.74,4420.679468242245,0.3147773279352227,-0.17499999999999993,4.95,0
SMER,Commercial and Services,Sameer Africa Plc,849,988,0.8593117408906883,0.0006157925697971655,0.04528517483723089,0.04074024253788614,0.041851325180400994,-0.5770114942528736,9976.796230859834,0.14068825910931174,0.0,2.43,0
TCL,Investment,Trans-Century Plc,939,988,0.9504048582995951,-0.0005472215335571899,0.04179328046955457,0.039678956915033474,0.040612952454095456,-0.7908496732026143,83032.58785942492,0.04959514170040486,-0.04878048780487798,0.39,0
TOTL,Energy and Petroleum,Total Kenya Ltd,929,988,0.9402834008097166,0.0002728332170735014,0.030680094362094016,0.0270046975553413,0.028355236916241144,-0.3992395437262357,9251.23789020452,0.0597165991902834,-0.07407407407407418,20.0,2
TPSE,Commercial and Services,TPS Eastern Africa (Serena) Ltd,701,988,0.7095141700404858,0.0007177754127163282,0.044147815632101864,0.0343843373790411,0.036510419312905454,-0.41396508728179554,15976.462196861627,0.29048582995951416,0.01016949152542379,14.9,0
UCHM,Commercial and Services,Uchumi Supermarket Plc,977,988,0.9888663967611336,0.0003448577866469354,0.04130734058986336,0.04066493084724637,0.04099818816802638,-0.4666666666666666,68701.63766632549,0.011133603238866396,-0.10526315789473684,0.17,0
UMME,Energy and Petroleum,Umeme Ltd,915,988,0.9261133603238867,0.0013749267003607857,0.03038199824933011,0.026069512155188143,0.028348749286500968,-0.4377464788732394,48586.229508196724,0.07388663967611336,-0.005934718100890302,16.75,2
UNGA,Manufacturing and Allied,Unga Group Ltd,477,988,0.48279352226720645,-0.0005187369136186105,0.044014740467502984,0.024695964028020736,0.028476445434462615,-0.6841379310344827,1888.6792452830189,0.5172064777327935,-0.06542056074766356,15.0,0
WTK,Agricultural,Williamson Tea Kenya Plc,763,988,0.7722672064777328,0.0011477217378374341,0.028940244822731057,0.02209769983007077,0.02450848050797675,-0.31486611265004616,2734.338138925295,0.22773279352226722,0.05348837209302326,226.5,2
XPRS,Commercial and Services,Express Kenya Plc,470,988,0.4757085020242915,0.0011989515657372116,0.04635283271184613,0.026805234808170892,0.031106909962158688,-0.48333333333333334,3592.340425531915,0.5242914979757085,0.03746397694524495,3.6,0
